Industry,predicate,num
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_NoneOfTheabove_Percentage,0.421
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_AccreditedFinanceagreements_Percentage,*
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_BusinessRatesholiday_Percentage,0.038
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_CoronavirusJobRetentionScheme_Percentage,0.098
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_DeferringVATpayments_Percentage,0.184
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,*
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_HMRCTimeToPayscheme_Percentage,0.057
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_WehaventReceivedAnyThatWeAppliedfor_Percentage,0.228
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_AccreditedFinanceagreements_Percentage,0.028
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_BusinessRatesholiday_Percentage,0.134
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_CoronavirusJobRetentionScheme_Percentage,0.345
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_DeferringVATpayments_Percentage,0.162
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.106
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_HMRCTimeToPayscheme_Percentage,0.063
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_WeHaveNotAppliedForAnyOfTheseinitiatives_Percentage,0.556
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_AccreditedFinanceagreements_Percentage,0.014
